Person_ID,Reporter_Name,Outlet_Name,Outlet_URL,Outlet_ID,Circulation
903,Alex Steele,Truck Trend (+www),http://www.trucktrend.com/,62,"75,169"
912,Joe Coscia,TestDriveNow,http://testdrivenow.com/,3070,"2,700"
912,Joe Coscia,Youtube.com,https://www.youtube.com/c/TestDriveNowCom/featured,1833,"9,260"
914,Ricardo Rodriguez-Long,Los Angeles Times,http://www.latimes.com/,401,"417,936"
914,Ricardo Rodriguez-Long,labest,https://www.labest.com/,6200,"8,000"
914,Ricardo Rodriguez-Long,Garage Latino,https://open.spotify.com/show/7chG1wP1bAU1MshlE7sNUL,2469,"8,000"
914,Ricardo Rodriguez-Long,Youtube.com,https://www.youtube.com/@GarageLatinoShow,1833,897
919,Alan Gell,Focus Daily News,https://www.focusdailynews.com/,259,"18,045"
919,Alan Gell,San Antonio Observer,http://www.saobserver.com,1790,"60,000"
919,Alan Gell,Ennisdailynews.com,https://www.ennisdailynews.com/,5727,485
919,Alan Gell,Wimberleyview.com,https://www.wimberleyview.com/,5728,"5,200"
919,Alan Gell,Cardata.com,http://car-data.com,1808,602
919,Alan Gell,BlogTalkRadio.com,https://www.blogtalkradio.com/,3911,"6,714"
919,Alan Gell,Youtube.com,https://www.youtube.com/channel/UCWbY9H-f0zY_DPtZodSPJ1w,1833,46
931,Tim Suddard,Grassroots Motorsports,http://www.grassrootsmotorsports.com/,36,"52,338"
935,Jason Fogelson,Forbes,http://www.forbes.com,1498,"669,672"
935,Jason Fogelson,CarGurus.com,https://www.cargurus.com/,3074,"51,200,000"
935,Jason Fogelson,Autotrader.com,https://www.autotrader.com,1928,"4,531,481"
946,Barbara Fulenwider,Fort Bend Independent,https://fbindependent.com/,1789,"45,000"
961,Fred J Staab,Cruise Control Radio,http://www.cruisecontrolradio.com ,2150,"54,066"
968,Charlie Romero,Roadfly.com,https://roadfly.com/,2135,"13,920"
968,Charlie Romero,Youtube.com,https://www.youtube.com/user/roadflytv,1833,"76,600"
972,Dave Stall,KUSI News, ,2855,"100,000"
972,Dave Stall,Youtube.com,https://www.youtube.com/user/MrDavestall/videos,1833,"100,000"
972,Dave Stall,You Auto Know,https://open.spotify.com/show/1mkcrwFBqckSGUkmZyNpVT,6503,"5,000"
984,Kirk Bell,Motor Authority,https://www.motorauthority.com/writer/10054534_kirk-bell,1302,"1,433,355"
984,Kirk Bell,The Car Connection,https://www.thecarconnection.com/writer/10054534_kirk-bell,1283,"2,446,350"
984,Kirk Bell,GreenCarReports.com,https://www.greencarreports.com/writer/10054534_kirk-bell,2041,"544,480"
984,Kirk Bell,JDPower.com,https://www.jdpower.com/cars/expert-reviews,1933,"1,350,000"
984,Kirk Bell,Kelley Blue Book,http://www.kbb.com,2081,"21,540,000"
984,Kirk Bell,Autotrader.com,http://www.autotrader.com,1928,"5,070,214"
992,Ben Stewart,Popular Mechanics,https://www.popularmechanics.com/,50,"1,201,294"
992,Ben Stewart,Kelley Blue Book,https://www.kbb.com,2081,"50,000"
992,Ben Stewart,Off Road Xtreme,https://www.offroadxtreme.com,6306,"50,000"
1024,Dan Neil,Wall Street Journal (print + www),https://www.wsj.com/,4268,"32,579,911"
1026,David Boldt,TXgarage.com,https://txgarage.com,1904,"15,000"
1026,David Boldt,Katy Trail Weekly,http://katytrailweekly.com/,4214,"95,000"
1026,David Boldt,Cardata.com,https://car-data.com/,1808,"5,880"
1060,Michael Coates,Cleanfleetreport.com, ,3168,"10,000"
1060,Michael Coates,Tri-City Voice ,https://tricityvoice.com,1602,"25,000"
1062,Joni Gray,Autobytel.com, ,1351,"7,000,000"
1066,Perry Stern,MSN Autos,https://www.msn.com/en-us/autos,1330,"118,557"
1066,Perry Stern,AutoNXT,https://autonxt.net,5077,"1,000"
1066,Perry Stern,Our Auto Expert,https://ourautoexpert.com,4081,"1,000"
1066,Perry Stern,Instagram,https://www.instagram.com/plstern/,3095,373
1066,Perry Stern,Capital One | Auto Navigator,https://www.capitalone.com/cars,5090,"200,000"
